datetimes,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,actual_current_0,actual_current_1,actual_current_2,actual_current_3,actual_current_4,actual_current_5,actual_TCP_force_0,actual_TCP_force_1,actual_TCP_force_2,actual_TCP_force_3,actual_TCP_force_4,actual_TCP_force_5,tcp_force_scalar,joint_temperatures_0,joint_temperatures_1,joint_temperatures_2,joint_temperatures_3,joint_temperatures_4,joint_temperatures_5,robot_mode,safety_mode,actual_robot_voltage,actual_robot_current,actual_joint_voltage_0,actual_joint_voltage_1,actual_joint_voltage_2,actual_joint_voltage_3,actual_joint_voltage_4,actual_joint_voltage_5
090320-16:51:32.940,-1.47504693667,-1.84578480343,-1.74553775787,-1.15413220346,1.56377363205,-1.50272781054,0.0421833135188,0.541386425495,-0.722234606743,0.187757581472,-9.09362925469e-16,0.0440415591002,0.579010725021,5.41265487671,-0.106123968959,0.561016380787,0.0788649767637,0.279925793409,-0.299202140385,-1.61719713813,0.632597743473,-0.0756083024947,-0.011946127185,0.318782499585,1.76210907989,31.3125,32.75,31.9375,36.0,38.9375,40.5,7,1,47.7925682068,1.66618549824,47.4846000671,47.6279296875,47.5419311523,47.55626297,47.4559326172,47.4989318848
090320-16:51:32.948,-1.4747226874,-1.84140171627,-1.75137424469,-1.15264208735,1.56380987167,-1.50230580965,0.0437574163079,0.537220060825,-0.721292078495,0.177232980728,0.000702051911503,0.0488202609122,0.560325264931,5.01463127136,0.628921151161,0.473951518536,0.0931729823351,0.202372521162,-0.188637508111,-1.94275035351,0.379132656483,-0.112539636001,-0.0291199170608,0.316287098969,1.9883673244,31.3125,32.75,31.9375,36.0,38.9375,40.5,7,1,47.8077888489,1.57219028473,47.5849304199,47.6279296875,47.6279296875,47.4702682495,47.4846000671,47.4989318848
090320-16:51:32.956,-1.47435075441,-1.83706345181,-1.75726222992,-1.15145476282,1.56379795074,-1.5019086043,0.0431835241616,0.543550431728,-0.721951186657,0.157726928592,0.000780227244832,0.0514207966626,0.519263267517,4.60806941986,0.896931886673,0.806865096092,0.0796776115894,0.126420736313,0.0091200900846,0.302513188643,-0.0332406929278,0.05252188145,-0.00964729511934,0.30509003656,0.304470604513,31.3125,32.75,31.9375,36.0,38.9375,40.5,7,1,47.8015213013,1.50281047821,47.55626297,47.7139282227,47.6422653198,47.5275993347,47.5705947876,47.5705947876
090320-16:51:32.963,-1.47401506106,-1.83271040539,-1.76301288605,-1.15009053171,1.56383371353,-1.50157434145,0.0457800999284,0.545910835266,-0.718993484974,0.181462734938,0.000637466378976,0.0481621101499,0.393892139196,4.51812076569,0.76754373312,0.544179141521,0.0888273268938,0.11301626265,0.171271407985,1.10714046171,0.12110281079,0.0763372427725,-0.0408386009505,0.319692064221,1.12683618505,31.3125,32.75,31.9375,36.0,38.9375,40.5,7,1,47.8095779419,1.43119490147,47.6135978699,47.6852607727,47.6852607727,47.5705947876,47.55626297,47.5419311523
090320-16:51:32.972,-1.47364408175,-1.82835735897,-1.76864528656,-1.14865668238,1.56384515762,-1.5011695067,0.0450266189873,0.551097989082,-0.714477837086,0.162133201957,0.000526759948116,0.0427764467895,0.469656944275,4.15361356735,0.715470254421,0.727465033531,0.0964199602604,0.147018611431,-0.409960264591,-0.430795586156,0.83430275841,-0.00147580098889,-0.00325812404841,0.322305898361,1.02455519533,31.3125,32.75,31.9375,36.0,38.9375,40.5,7,1,47.8480911255,1.39090740681,47.6135978699,47.6565971375,47.6565971375,47.5275993347,47.5275993347,47.5275993347
090320-16:51:32.979,-1.47330934206,-1.82394184689,-1.77423000336,-1.14724190653,1.56383371353,-1.50084764162,0.0444737188518,0.554480731487,-0.710725307465,0.178159430623,0.000425357487984,0.039177916944,0.582336008549,4.05666446686,0.554833054543,0.52835047245,0.109329074621,0.206908285618,-0.16992049214,-1.12808085575,1.47286761084,-0.0046840686459,-0.00677035358725,0.314618872713,1.86300252008,31.3125,32.75,31.9375,36.0,38.9375,40.5,7,1,47.8006248474,1.41776394844,47.5849304199,47.6422653198,47.6565971375,47.55626297,47.4989318848,47.5419311523
090320-16:51:32.988,-1.47299939791,-1.81943096737,-1.77999591827,-1.14580805719,1.56383371353,-1.5004881064,0.0415370538831,0.553265333176,-0.711379408836,0.166687741876,0.00040202063974,0.0387098938227,0.690671384335,4.10576725006,0.693998873234,0.416527926922,0.105250895023,0.268243819475,0.0952522255526,-1.01167109784,1.69424303894,-0.0132384773486,-0.0230836930151,0.311091328865,1.97560392581,31.3125,32.75,31.9375,36.0,38.9375,40.5,7,1,47.8606300354,1.48266685009,47.5705947876,47.7282600403,47.699596405,47.5705947876,47.5849304199,47.5849304199
090320-16:51:32.995,-1.47263986269,-1.81499781231,-1.78580188751,-1.14469893396,1.56380987167,-1.50015145937,0.0412798598409,0.551579713821,-0.712129414082,0.145392671227,0.000474312953884,0.0412186570466,0.797578692436,4.07706737518,0.792303919792,0.727742314339,0.127107381821,0.292646497488,-0.524993043636,0.132180568651,1.32397901151,0.0118519142067,-0.00357583759518,0.314686319466,1.43038799685,31.3125,32.75,31.9375,36.0,38.9375,40.5,7,1,47.8068962097,1.34167671204,47.5849304199,47.7712593079,47.6852607727,47.5705947876,47.5419311523,47.5849304199
090320-16:51:33.004,-1.47230416933,-1.81046213726,-1.79159069061,-1.14351160944,1.5638217926,-1.49987441698,0.0423130169511,0.552445113659,-0.710572898388,0.164160951972,0.000828363816254,0.0434326417744,0.747796177864,3.99619150162,1.01527714729,0.573803603649,0.135880559683,0.301819801331,-0.340613594646,1.77675550563,0.268737039646,0.0900647828658,-0.0325226091663,0.315239242627,1.82896072788,31.3125,32.75,31.9375,36.0,38.9375,40.5,7,1,47.8033103943,1.3461483717,47.5849304199,47.7282600403,47.7282600403,47.5705947876,47.5419311523,47.5275993347
090320-16:51:33.011,-1.47190934816,-1.80605473141,-1.79722690582,-1.14226038874,1.56388235092,-1.49951392809,0.0423070453107,0.55048251152,-0.709326922894,0.146560192108,0.00184611743316,0.0446028187871,0.723796784878,4.00912189484,1.04698491096,0.717263698578,0.104037493467,0.315908879042,0.397134733224,1.03384971014,-0.265746784087,0.0732524347791,-0.0433803683125,0.31245200878,1.13893923137,31.3125,32.75,31.9375,36.0,38.9375,40.5,7,1,47.831073761,1.38195884228,47.5849304199,47.7282600403,47.6852607727,47.5705947876,47.5419311523,47.5705947876
